symbol,pair,contractType,deliveryDate,onboardDate,status,maintMarginPercent,requiredMarginPercent,baseAsset,quoteAsset,marginAsset,pricePrecision,quantityPrecision,baseAssetPrecision,quotePrecision,underlyingType,underlyingSubType,settlePlan,triggerProtect,liquidationFee,marketTakeBound,maxMoveOrderLimit,filters,orderTypes,timeInForce
NKNUSDT,NKNUSDT,PERPETUAL,4133404800000,1617865200000,TRADING,2.5000,5.0000,NKN,USDT,USDT,5,0,8,8,COIN,['Infrastructure'],0,0.1000,0.010000,0.10,10000,"[{'minPrice': '0.00602', 'filterType': 'PRICE_FILTER', 'maxPrice': '20000', 'tickSize': '0.00001'}, {'minQty': '1', 'filterType': 'LOT_SIZE', 'stepSize': '1', 'maxQty': '10000000'}, {'minQty': '1', 'filterType': 'MARKET_LOT_SIZE', 'maxQty': '710000', 'stepSize': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
SCUSDT,SCUSDT,PERPETUAL,1655456400000,1618210800000,SETTLING,2.5000,5.0000,SC,USDT,USDT,6,0,8,8,COIN,['Storage'],0,0.0500,0.010000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'tickSize': '0.000001', 'minPrice': '0.000368', 'maxPrice': '2000'}, {'minQty': '1', 'maxQty': '10000000', 'stepSize': '1', 'filterType': 'LOT_SIZE'}, {'maxQty': '5000000', 'minQty': '1', 'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
DGBUSDT,DGBUSDT,PERPETUAL,1711962000000,1618815600000,SETTLING,2.5000,5.0000,DGB,USDT,USDT,5,0,8,8,COIN,['Payment'],0,0.1000,0.010000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '0.00131', 'tickSize': '0.00001', 'maxPrice': '20000'}, {'filterType': 'LOT_SIZE', 'minQty': '1', 'maxQty': '10000000', 'stepSize': '1'}, {'maxQty': '7200000', 'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE', 'minQty': '1'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierDecimal': '4', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
1000SHIBUSDT,1000SHIBUSDT,PERPETUAL,4133404800000,1620630000000,TRADING,2.5000,5.0000,1000SHIB,USDT,USDT,6,0,8,8,COIN,['Meme'],0,0.1000,0.015000,0.10,10000,"[{'maxPrice': '2000', 'tickSize': '0.000001', 'minPrice': '0.000157', 'filterType': 'PRICE_FILTER'}, {'minQty': '1', 'stepSize': '1', 'maxQty': '800000000', 'filterType': 'LOT_SIZE'}, {'filterType': 'MARKET_LOT_SIZE', 'stepSize': '1', 'maxQty': '150000000', 'minQty': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
BAKEUSDT,BAKEUSDT,PERPETUAL,4133404800000,1621321200000,TRADING,2.5000,5.0000,BAKE,USDT,USDT,4,0,8,8,COIN,['DeFi'],0,0.1000,0.012500,0.10,10000,"[{'maxPrice': '100000', 'minPrice': '0.0001', 'tickSize': '0.0001', 'filterType': 'PRICE_FILTER'}, {'maxQty': '5000000', 'filterType': 'LOT_SIZE', 'minQty': '1', 'stepSize': '1'}, {'filterType': 'MARKET_LOT_SIZE', 'minQty': '1', 'stepSize': '1', 'maxQty': '500000'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'multiplierDecimal': '4', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
GTCUSDT,GTCUSDT,PERPETUAL,4133404800000,1615791600000,TRADING,2.5000,5.0000,GTC,USDT,USDT,3,1,8,8,COIN,['Infrastructure'],0,0.1000,0.017500,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'maxPrice': '100000', 'tickSize': '0.001', 'minPrice': '0.200'}, {'filterType': 'LOT_SIZE', 'maxQty': '100000', 'stepSize': '0.1', 'minQty': '0.1'}, {'minQty': '0.1', 'maxQty': '150000', 'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
BTCDOMUSDT,BTCDOMUSDT,PERPETUAL,4133404800000,1623913200000,TRADING,2.5000,5.0000,BTCDOM,USDT,USDT,1,3,8,8,INDEX,['Index'],0,0.1000,0.015000,0.10,10000,"[{'minPrice': '10', 'maxPrice': '100000', 'filterType': 'PRICE_FILTER', 'tickSize': '0.1'}, {'filterType': 'LOT_SIZE', 'stepSize': '0.001', 'minQty': '0.001', 'maxQty': '10000'}, {'minQty': '0.001', 'stepSize': '0.001', 'maxQty': '100', 'filterType': 'MARKET_LOT_SIZE'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
IOTXUSDT,IOTXUSDT,PERPETUAL,4133404800000,1628665200000,TRADING,2.5000,5.0000,IOTX,USDT,USDT,5,0,8,8,COIN,['Layer-1'],0,0.1000,0.010000,0.10,10000,"[{'minPrice': '0.00050', 'tickSize': '0.00001', 'filterType': 'PRICE_FILTER', 'maxPrice': '20000'}, {'filterType': 'LOT_SIZE', 'minQty': '1', 'stepSize': '1', 'maxQty': '10000000'}, {'stepSize': '1', 'maxQty': '2000000', 'filterType': 'MARKET_LOT_SIZE', 'minQty': '1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
AUDIOUSDT,AUDIOUSDT,PERPETUAL,4133404800000,1629270000000,TRADING,2.5000,5.0000,AUDIO,USDT,USDT,4,0,8,8,COIN,['NFT'],0,0.1000,0.020000,0.10,10000,"[{'tickSize': '0.0001', 'filterType': 'PRICE_FILTER', 'minPrice': '0.0040', 'maxPrice': '100000'}, {'minQty': '1', 'stepSize': '1', 'filterType': 'LOT_SIZE', 'maxQty': '1000000'}, {'minQty': '1', 'maxQty': '420000', 'stepSize': '1', 'filterType': 'MARKET_LOT_SIZE'}, {'limit': 200, 'filterType': 'MAX_NUM_ORDERS'}, {'limit': 10, 'filterType': 'MAX_NUM_ALGO_ORDERS'}, {'notional': '5', 'filterType': 'MIN_NOTIONAL'}, {'filterType': 'PERCENT_PRICE', 'multiplierUp': '1.1000', 'multiplierDown': '0.9000', 'multiplierDecimal': '4'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
RAYUSDT,RAYUSDT,PERPETUAL,1668484800000,1629270000000,SETTLING,2.5000,5.0000,RAY,USDT,USDT,3,1,8,8,COIN,['DEX'],0,0.1000,0.025000,0.10,10000,"[{'filterType': 'PRICE_FILTER', 'minPrice': '0.010', 'maxPrice': '100000', 'tickSize': '0.001'}, {'minQty': '0.1', 'maxQty': '500000', 'filterType': 'LOT_SIZE', 'stepSize': '0.1'}, {'filterType': 'MARKET_LOT_SIZE', 'stepSize': '0.1', 'maxQty': '5000', 'minQty': '0.1'}, {'filterType': 'MAX_NUM_ORDERS', 'limit': 200}, {'filterType': 'MAX_NUM_ALGO_ORDERS', 'limit': 10}, {'filterType': 'MIN_NOTIONAL', 'notional': '5'}, {'multiplierDecimal': '4', 'multiplierDown': '0.9000', 'multiplierUp': '1.1000', 'filterType': 'PERCENT_PRICE'}]","['LIMIT', 'MARKET', 'STOP', 'STOP_MARKET', 'TAKE_PROFIT', 'TAKE_PROFIT_MARKET', 'TRAILING_STOP_MARKET']","['GTC', 'IOC', 'FOK', 'GTX', 'GTD']"
